Source,CreationDate,Author,LastSaved,LastSavedBy,BarcodeFinal,LabelPrefix,Crop,FieldStrip,ID2.x,Col.Row2,Column,Row2,ShoudKeep,isResidue,TotalGrain.g..bag,TareBag.g.,TotalGrain.g.,Tota.Biomass.g..bag,TareBag.g..1,TotalBiomass.g.,protein,moisture,starch,gluten,testWeight,tareWtSampleBag.g.,NOTES,Notes2,Notes3,X,Y,ID2
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_201_8-I,GPHY14,GB,A1,201,8-I,8,I,0,"",204,20,184,,,,,,,,,,"","","",-117.086242,46.781049,201
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_202_9-I,GPHY14,GB,A2,202,9-I,9,I,0,"",181,20,161,,,,,,,,,,"","","",-117.085824,46.780954,202
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_203_10-I,GPHY14,GB,A3,203,10-I,10,I,0,"",230,20,210,,,,,,,,,,"","","",-117.085406,46.781072,203
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_204_11-I,GPHY14,GB,A4,204,11-I,11,I,0,"",301,20,281,,,,,,,,,,"","","",-117.084988,46.78092,204
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_205_12-I,CF14GPSWGrn,SW,A5,205,12-I,12,I,0,"",1302,20,1282,,,,10.4,7.6,72.5,25.4,59.5,,"","","",-117.08457,46.781009,205
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_206_13-I,CF14GPSWGrn,SW,A6,206,13-I,13,I,0,"",951,20,931,,,,10.3,7.3,72.1,24.7,58.2,,"","","",-117.084152,46.780962,206
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_207_14-I,CF14GPSWGrn,SW,A6,207,14-I,14,I,0,"",883,20,863,,,,10.7,7.5,72.7,25.2,58.6,,"","","",-117.08375497,46.78103938,207
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_207_15-I,CF14GPWW,WW,"",207,15-I,15,I,0,"",1177,20,1157,,,,9.2,8.6,73,23.1,48.5,,"","","",-117.083316,46.780946,208
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_208_16-I,CF14GPWW,WW,"",208,16-I,16,I,0,"",1216,20,1196,,,,9.2,9,71.8,23.5,51.1,,There is s small piece of tape on the bag; starch outside limit,"","",-117.082898,46.781015,209
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_209_17-I,CF14GPWW,WW,"",209,17-I,17,I,0,"",1090,20,1070,,,,11.3,8.4,68.2,29.5,40.6,,"","","",-117.08248,46.781052,210
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_210_18-I,CF14GPWW,WW,"",210,18-I,18,I,0,"",1393,20,1373,,,,10.5,8.4,71.7,27.5,46.6,,"","","",-117.082062,46.780854,211
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_211_19-I,CF14GPWW,WW,"",211,19-I,19,I,0,"",1385,19,1366,,,,9.2,9,73.1,23.9,53.1,,"","","",-117.081644,46.780993,212
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_212_20-I,CF14GPWW,WW,"",212,20-I,20,I,0,"",1672,19,1653,,,,9.5,8.4,72.4,24.1,50,,"","","",-117.081226,46.780995,213
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_213_21-I,CF14GPWW,WW,"",213,21-I,21,I,0,"",986,20,966,,,,10.8,7.8,71.5,28.2,52.8,,"","","",-117.080808,46.780851,214
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_214_22-I,CF14GPWW,WW,"",214,22-I,22,I,0,"",1342,19,1323,,,,10.4,8.6,73.1,27.9,54.6,,"","","",-117.08043771,46.78111806,215
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_216_23-I,CF14GPSWGrn,SW,C1,216,23-I,23,I,0,"",653,20,633,,,,12.5,6,68.4,27.8,54.3,,MOISTURE OUTSIDE LIMITS,"","",-117.079972,46.781085,216
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_217_24-I,GPHY14,GB,C2,217,24-I,24,I,0,"",316,20,296,,,,,,,,,,"","","",-117.079554,46.781049,217
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.50208,Covered Storage,GPHY14_SB_C3_218_25-I,GPHY14,SB,C3,218,25-I,25,I,0,"",562,31,531,,,,11.6,11.7,64.7,,53.8,,"","","",-117.079136,46.78097,218
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.50208,Covered Storage,GPHY14_SB_C3_219_26-I,GPHY14,SB,C3,219,26-I,26,I,0,"",627,31,596,,,,10.9,11,64.2,,53.5,,"","","",-117.078718,46.780982,219
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_219_27-I,CF14GPWW,WW,"",219,27-I,27,I,0,"",922,19,903,,,,12.8,8.1,71.4,34.9,59.4,,"","","",-117.0783,46.780987,220
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C5_221_28-I,CF14GPSWGrn,SW,C5,221,28-I,28,I,0,"",932,20,912,,,,11.1,7.3,72.9,26.8,58.8,,"",STARCH OUTSIDE LIMITS,"",-117.077882,46.780924,221
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C5_222_29-I,CF14GPSWGrn,SW,C5,222,29-I,29,I,0,"",778,20,758,,,,9.6,7,77.3,21.9,58.5,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,"",-117.077464,46.781088,222
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C6_223_30-I,CF14GPSWGrn,SW,C6,223,30-I,30,I,0,"",566,20,546,,,,11.8,7.4,68.2,27.8,55.5,,"","","",-117.077046,46.780862,223
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C7_224_31-I,CF14GPSWGrn,SW,C7,224,31-I,31,I,0,"",591,32,559,,,,12.2,6.7,69.7,26.5,56.1,,MOISTURE OUTSIDE LIMITS,"",ORIGINAL SAMPLE BAG RIPPED,-117.076628,46.780986,224
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_225_7-J,GPHY14,GB,A1,225,7-J,7,J,0,"",356,20,336,,,,,,,,,,"","","",-117.086295,46.781365,225
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_226_8-J,GPHY14,GB,A2,226,8-J,8,J,0,"",491,20,471,,,,,,,,,,"","","",-117.08586126,46.78132062,226
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_227_9-J,GPHY14,GB,A3,227,9-J,9,J,0,"",194,20,174,,,,,,,,,,"","","",-117.08543278,46.78122203,227
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_228_10-J,GPHY14,GB,A3,228,10-J,10,J,0,"",49,20,29,,,,,,,,,,"","","",-117.085041,46.781358,228
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_229_11-J,GPHY14,GB,A4,229,11-J,11,J,0,"",204,25,179,,,,,,,,,,SAMPLE BAG DIFFERENT FROM OTHER SAMPLE BAGS,"","",-117.084623,46.781206,229
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_230_12-J,CF14GPSWGrn,SW,A5,230,12-J,12,J,0,"",758,20,738,,,,11.2,7.1,69.6,25.2,53.3,,MOISTURE OUTSIDE LIMITS,"","",-117.084205,46.781295,230
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_231_13-J,CF14GPSWGrn,SW,A6,231,13-J,13,J,0,"",447,20,427,,,,11.4,6.6,68.5,26.4,50,,MOISTURE OUTSIDE LIMITS,"","",-117.083787,46.781248,231
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_231_14-J,CF14GPWW,WW,"",231,14-J,14,J,0,"",898,20,878,,,,9.4,8.6,68.1,23.9,45.3,,"","","",-117.08328225,46.78127044,232
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_232_15-J,CF14GPWW,WW,"",232,15-J,15,J,0,"",1203,20,1183,,,,10.2,9.5,66.9,27.4,39.5,,"","","",-117.082951,46.781232,233
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_233_16-J,CF14GPWW,WW,"",233,16-J,16,J,0,"",1555,20,1535,,,,8.9,8.6,74.2,22,51.8,,Starch outside limits,"","",-117.082533,46.781301,234
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_234_17-J,CF14GPWW,WW,"",234,17-J,17,J,0,"",1110,19,1091,,,,11,9.6,66.7,30,44.3,,"","","",-117.082115,46.781338,235
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_235_18-J,CF14GPWW,WW,"",235,18-J,18,J,0,"",1457,19,1438,,,,10.8,9,72.6,29.4,56,,"","","",-117.081697,46.78114,236
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_236_19-J,CF14GPWW,WW,"",236,19-J,19,J,0,"",1232,20,1212,,,,10.1,8.6,72,26.3,49.1,,"","","",-117.08124367,46.78126348,237
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_237_20-J,CF14GPWW,WW,"",237,20-J,20,J,0,"",1339,20,1319,,,,11.2,8.2,72.6,29.8,49.7,,Starch outside limits,"","",-117.080861,46.781281,238
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_238_21-J,CF14GPWW,WW,"",238,21-J,21,J,0,"",1013,20,993,,,,9.9,8.3,72.5,25.9,53.1,,Starch outside limits,"","",-117.08045495,46.78115338,239
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_239_22-J,CF14GPWW,WW,"",239,22-J,22,J,0,"",1105,20,1085,,,,10.6,7.8,72.3,27.9,52.8,,Starch outside limits,"","",-117.08011053,46.78144636,240
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_241_23-J,CF14GPSWGrn,SW,C1,241,23-J,23,J,0,"",721,20,701,,,,11.3,6.9,69.3,26.8,58.4,,MOISTURE OUTSIDE LIMITS,"","",-117.079607,46.781371,241
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_242_24-J,GPHY14,GB,C2,242,24-J,24,J,0,"",449,20,429,,,,,,,,,,"","","",-117.079189,46.781335,242
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.50208,Covered Storage,GPHY14_SB_C3_243_25-J,GPHY14,SB,C3,243,25-J,25,J,0,"",520,31,489,,,,11.3,12.1,63.6,,53.5,,"","","",-117.078771,46.781256,243
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.50208,Covered Storage,GPHY14_SB_C3_244_26-J,GPHY14,SB,C3,244,26-J,26,J,0,"",576,31,545,,,,10.23,11.7,64.6,,54.1,,"","","",-117.07838882,46.78129255,244
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_244_27-J,CF14GPWW,WW,"",244,27-J,27,J,0,"",711,20,691,,,,13.2,8.6,64.2,35.9,45.7,,"","","",-117.077935,46.781273,245
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C5_246_28-J,CF14GPSWGrn,SW,C5,246,28-J,28,J,0,"",659,20,639,,,,11.7,6.8,70.3,27.4,57.3,,MOISTURE OUTSIDE LIMITS,"","",-117.077517,46.78121,246
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C5_247_29-J,CF14GPSWGrn,SW,C5,247,29-J,29,J,0,"",792,20,772,,,,10.8,6.9,70.3,23.8,56.4,,MOISTURE OUTSIDE LIMITS,"","",-117.077099,46.781374,247
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C6_248_30-J,CF14GPSWGrn,SW,C6,248,30-J,30,J,0,"",1073,20,1053,,,,10,7,75.7,23,61.2,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,"",-117.07669891,46.78116437,248
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_249_9-K,GPHY14,GB,A1,249,9-K,9,K,0,"",397,25,372,,,,,,,,,,"MOUSE DAMAGE TO SAMPLE BAG, SO WEIGHED BAG SEPERATELY","","",-117.085864,46.781526,249
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_250_10-K,GPHY14,GB,A2,250,10-K,10,K,0,"",309,20,289,,,,,,,,,,"","","",-117.085446,46.781644,250
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_251_11-K,GPHY14,GB,A3,251,11-K,11,K,0,"",92,19,73,,,,,,,,,,"MOUSE DAMAGE TO SAMPLE BAG, SO WEIGHED BAG SEPERATELY","","",-117.085028,46.781492,251
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_252_12-K,GPHY14,GB,A4,252,12-K,12,K,0,"",117,20,97,,,,,,,,,,MOUSE DAMAGE TO SAMPLE,"","",-117.08457853,46.78155584,252
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_253_13-K,GPHY14,GB,A4,253,13-K,13,K,0,"",339,20,319,,,,,,,,,,"","","",-117.084192,46.781534,253
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_254_14-K,CF14GPSWGrn,SW,A5,254,14-K,14,K,0,"",1264,20,1244,,,,10.2,7.1,71.1,23.4,59.4,,MOISTURE OUTSIDE LIMITS,"","",-117.083774,46.781597,254
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_255_15-K,CF14GPSWGrn,SW,A6,255,15-K,15,K,0,"",674,20,654,,,,11,7,72.4,25.1,57.5,,MOISTURE OUTSIDE LIMITS,"","",-117.083356,46.781518,255
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_255_16-K,CF14GPWW,WW,"",255,16-K,16,K,0,"",1643,19,1624,,,,9.9,9.1,73.5,26.4,55.9,,"","","",-117.082938,46.781587,256
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_256_17-K,CF14GPWW,WW,"",256,17-K,17,K,0,"",954,19,935,,,,9.5,9.1,73,24.9,53.9,,"","","",-117.08252,46.781624,257
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_257_18-K,CF14GPWW,WW,"",257,18-K,18,K,0,"",1215,20,1195,,,,10,9,72.9,26.1,52.5,,"","","",-117.082102,46.781426,258
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_258_19-K,CF14GPWW,WW,"",258,19-K,19,K,0,"",1156,20,1136,,,,9.5,8.8,65.8,25.3,39.7,,Protein DM outside limit,"","",-117.081684,46.781565,259
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_259_20-K,CF14GPWW,WW,"",259,20-K,20,K,0,"",1255,20,1235,,,,11,8.3,68.7,29,43.8,,"","","",-117.081266,46.781567,260
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_260_21-K,CF14GPWW,WW,"",260,21-K,21,K,0,"",1451,19,1432,,,,9.8,7.8,72.6,25.1,53.1,,"","","",-117.080848,46.781423,261
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_261_22-K,CF14GPWW,WW,"",261,22-K,22,K,0,"",1305,20,1285,,,,11.2,8.4,68,30.4,43.9,,"","","",-117.08043,46.781686,262
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_262_23-K,CF14GPWW,WW,"",262,23-K,23,K,0,"",1076,20,1056,,,,9.9,8.9,75.5,26.3,57,,Starch outside limits,"","",-117.080012,46.781657,263
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_264_24-K,CF14GPSWGrn,SW,C1,264,24-K,24,K,0,"",786,20,766,,,,7.4,7.4,72.7,23.9,60.1,,"","","",-117.079594,46.781621,264
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_265_25-K,GPHY14,GB,C2,265,25-K,25,K,0,"",548,20,528,,,,,,,,,,"","","",-117.0791581,46.78153382,265
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_266_26-K,GPHY14,GB,C2,266,26-K,26,K,0,"",323,20,303,,,,,,,,,,"","","",-117.078758,46.781554,266
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.48472,Covered Storage,GPHY14_SB_C3_267_27-K,GPHY14,SB,C3,267,27-K,27,K,0,"",460,25,435,,,,13.3,10.9,63.1,,53.7,,"","","",-117.07834,46.781559,267
